ell,tau,EE,TE,TT
29,0.0206,4.644788933558548e-17,5.807365054295346e-16,1.6513210921535813e-12
30,0.0206,4.7275873769614957e-17,5.042923336028675e-16,1.555257121640641e-12
31,0.0206,4.811158873656983e-17,4.288130854097939e-16,1.4679582450034496e-12
32,0.0206,4.89539346673084e-17,3.5435957873695557e-16,1.3884364789019415e-12
33,0.0206,4.9801801994458266e-17,2.8103115744073223e-16,1.3157960333684579e-12
34,0.0206,5.065416182901216e-17,2.0888171172957817e-16,1.2491936562858133e-12
35,0.0206,5.1510307995423456e-17,1.3778331722024925e-16,1.1879962469387136e-12
36,0.0206,5.236961499651068e-17,6.756259588157571e-17,1.1316232424623383e-12
37,0.0206,5.323135672541089e-17,-1.895359913312606e-18,1.0795313666382306e-12
38,0.0206,5.409440463653526e-17,-7.047157617409467e-17,1.0313264898333917e-12
39,0.0206,5.495752957461349e-17,-1.3798860850614944e-16,9.866517690611862e-13
40,0.0206,5.581950238437528e-17,-2.0426901251485765e-16,9.451503613349796e-13
41,0.0206,5.667923428650945e-17,-2.6920013109777607e-16,9.064894432735845e-13
42,0.0206,5.753619800554122e-17,-3.3292845632117147e-16,8.704322699176027e-13
43,0.0206,5.839000664195493e-17,-3.9566526754348837e-16,8.367661159130836e-13
44,0.0206,5.924027329623491e-17,-4.576218441231707e-16,8.052782559060764e-13
45,0.0206,6.00864615295071e-17,-5.189508295255272e-16,7.757685094883862e-13
46,0.0206,6.092743674546376e-17,-5.795703236433219e-16,7.480868760348416e-13
47,0.0206,6.176191480843875e-17,-6.393397904761838e-16,7.22095899866027e-13
48,0.0206,6.258861158276596e-17,-6.981186940237416e-16,6.976581253025272e-13
49,0.0206,6.340624293277924e-17,-7.557664982856237e-16,6.746360966649263e-13
50,0.0206,6.421359024689101e-17,-8.121735992552728e-16,6.529027675394729e-13
2,0.0243,2.4457816836920325e-15,5.069153464273638e-13,2.923933636736498e-10
3,0.0243,7.693695450916488e-16,1.6890766774283145e-13,1.2615058531795938e-10
4,0.0243,2.3532223698097374e-16,6.948293521154948e-14,7.066653222103654e-11
5,0.0243,8.827463497370071e-17,3.0888522551440376e-14,4.5464931003411927e-11
6,0.0243,5.167758558354345e-17,1.4533459538331377e-14,3.177896798033345e-11
7,0.0243,4.1044258865950296e-17,7.554505510492505e-15,2.3521888121650924e-11
8,0.0243,3.6903363300620403e-17,4.5852903184830985e-15,1.8155705875180825e-11
9,0.0243,3.515695916141642e-17,3.286599662984574e-15,1.4466341363123893e-11
10,0.0243,3.452640671715551e-17,2.6666005624486896e-15,1.181567723640049e-11
11,0.0243,3.445635258303453e-17,2.326973856407463e-15,9.848580396526735e-12
12,0.0243,3.467741470528622e-17,2.1159202658286146e-15,8.34498446341114e-12
13,0.0243,3.506970212580268e-17,1.9728696613089034e-15,7.1700132997194314e-12
14,0.0243,3.555228627847565e-17,1.8647995037003224e-15,6.233605991572041e-12
15,0.0243,3.6100697016268565e-17,1.771540422676752e-15,5.475571206723839e-12
16,0.0243,3.668428467146544e-17,1.682207955525624e-15,4.852053621492883e-12
17,0.0243,3.729680173699217e-17,1.591614255239893e-15,4.333733447411465e-12
18,0.0243,3.793246527294301e-17,1.4999225776144868e-15,3.896910100638184e-12
19,0.0243,3.858926364652846e-17,1.4088184857742024e-15,3.5259202961236097e-12
