k (h/Mpc),x,omega_b,omega_m,T(k),log10(T(k))
0.00013149367458838206,0.0010784062978817556,0.0214,0.14333333333333334,0.9997131669046111,-0.00012458789937535344
0.00016554072842950713,0.0013576330926422127,0.0214,0.14333333333333334,0.999547526507472,-0.0001965512114730716
0.0002084034297068237,0.0017091588002199865,0.0214,0.14333333333333334,0.9992897844134148,-0.00030855229251360825
0.00026236437356297977,0.002151703446388571,0.0214,0.14333333333333334,0.9988927619748441,-0.00048113377846811545
0.00033029717702789306,0.002708834147303661,0.0214,0.14333333333333334,0.9982901454790112,-0.0007432159601348325
0.00041581950960429127,0.0034102201443763636,0.0214,0.14333333333333334,0.9973941395749667,-0.0011331879100468774
0.0005234857473606311,0.0042932127995677785,0.0214,0.14333333333333334,0.9960963537644061,-0.0016986496443525698
0.0006590295100643599,0.005404834691615855,0.0214,0.14333333333333334,0.9942673340835191,-0.0024968287742694116
0.0008296689973422825,0.006804283739821891,0.0214,0.14333333333333334,0.9917358356633053,-0.003603993563360734
0.0010444913841319871,0.008566085709119632,0.0214,0.14333333333333334,0.9882332109824167,-0.00514055511767984
0.0013149367458838216,0.010784062978817562,0.0214,0.14333333333333334,0.9833702327545261,-0.007282942218436555
0.0016554072842950723,0.013576330926422134,0.0214,0.14333333333333334,0.9766883250197487,-0.010244003649916504
0.002084034297068238,0.017091588002199874,0.0214,0.14333333333333334,0.9676405262851878,-0.014285951003151767
0.0026236437356297994,0.021517034463885726,0.0214,0.14333333333333334,0.9555666298492056,-0.01973902502241013
0.0033029717702789323,0.027088341473036622,0.0214,0.14333333333333334,0.939709632239508,-0.027006321503673134
0.004158195096042915,0.03410220144376365,0.0214,0.14333333333333334,0.9192372685674793,-0.03657237639429707
0.005234857473606314,0.042932127995677805,0.0214,0.14333333333333334,0.8932605286986933,-0.04902185614562199
0.0065902951006436014,0.05404834691615857,0.0214,0.14333333333333334,0.8608803308710673,-0.06505721469549224
0.00829668997342283,0.06804283739821894,0.0214,0.14333333333333334,0.8212058494065885,-0.08554796583340346
0.010444913841319875,0.08566085709119635,0.0214,0.14333333333333334,0.7733397987488155,-0.11162963894618143
0.013149367458838221,0.10784062978817567,0.0214,0.14333333333333334,0.7164573796587507,-0.1448096396414613
0.016554072842918283,0.1357633092639553,0.0214,0.14333333333333334,0.6499240289113659,-0.18713740605385856
0.020840342781235366,0.17091587846830533,0.0214,0.14333333333333334,0.5737644720438444,-0.24126634712001044
0.026236297913439063,0.21516920103968612,0.0214,0.14333333333333334,0.48982814109518164,-0.30995626786121017
0.033010938519523254,0.27072940283917374,0.0214,0.14333333333333334,0.4036967987526461,-0.3939446944578386
0.04097226576676613,0.33602186249398136,0.0214,0.14333333333333334,0.3292692739981512,-0.4824487939028607
0.04764146138963121,0.39071728859730354,0.0214,0.14333333333333334,0.28607864484039947,-0.5435145601399459
0.052486023419582944,0.43044852449083876,0.0214,0.14333333333333334,0.2628816937550151,-0.5802396557270025
0.05648793355126537,0.463269001240558,0.0214,0.14333333333333334,0.2472981586250411,-0.6067791173708541
0.060064315684656935,0.49259963656088246,0.0214,0.14333333333333334,0.23519240728231397,-0.6285767027005731
0.06340165469829664,0.5199698307678784,0.0214,0.14333333333333334,0.22485878975683124,-0.6480901311412788
0.06659887606155135,0.5461908917021707,0.0214,0.14333333333333334,0.2154579729727536,-0.6666374303108014
0.06971539128827402,0.5717500652400821,0.0214,0.14333333333333334,0.20652442502309135,-0.6850285782668702
0.07279027267312382,0.5969677911956573,0.0214,0.14333333333333334,0.1978088691095187,-0.7037542399432336
0.0758510832840927,0.6220701198804759,0.0214,0.14333333333333334,0.18918689244042106,-0.7231089564014133
0.07891840342250593,0.6472258345202783,0.0214,0.14333333333333334,0.18062656765955715,-0.7432183706374214
0.08200834864788231,0.6725671020876077,0.0214,0.14333333333333334,0.17215550571056457,-0.7640790835519198
0.08513406311491215,0.6982017204612806,0.0214,0.14333333333333334,0.16384458959184162,-0.7855678951372855
0.08830665180539135,0.7242207638495737,0.0214,0.14333333333333334,0.15580493888386765,-0.8074187796800533
0.09153578731976489,0.7507035592107563,0.0214,0.14333333333333334,0.1481506572645696,-0.8292964174492521
