ell,tau,EE,TE,TT
2125,0.02,8.543080655641057e-19,-5.406918249539031e-19,3.902608155335472e-17
2126,0.02,8.569636288699322e-19,-5.140919235111688e-19,3.881813908506698e-17
2127,0.02,8.597498235852228e-19,-4.880670071665973e-19,3.8609722646847364e-17
2128,0.02,8.626633632602152e-19,-4.626223052287649e-19,3.84008754272401e-17
2129,0.02,8.657009614451469e-19,-4.377630470062473e-19,3.819164061478935e-17
2130,0.02,8.688593316902556e-19,-4.1349446180762e-19,3.7982061398039346e-17
2131,0.02,8.721351875457792e-19,-3.89821778941459e-19,3.777218096553427e-17
2132,0.02,8.755252425619554e-19,-3.667502277163399e-19,3.756204250581831e-17
2133,0.02,8.79026210289022e-19,-3.4428503744083855e-19,3.735168920743568e-17
2134,0.02,8.826348042772168e-19,-3.224314374235309e-19,3.7141164258930554e-17
2135,0.02,8.863477380767771e-19,-3.011946569729924e-19,3.693051084884715e-17
2136,0.02,8.901617252379411e-19,-2.8057992539779904e-19,3.671977216572966e-17
2137,0.02,8.940734793109464e-19,-2.605924720065265e-19,3.6508991398122265e-17
2138,0.02,8.980797138460307e-19,-2.412375261077506e-19,3.629821173456918e-17
2139,0.02,9.021771423934315e-19,-2.2252031701004714e-19,3.6087476363614604e-17
2140,0.02,9.063624785033869e-19,-2.0444607402199192e-19,3.5876828473802727e-17
2141,0.02,9.106324357261346e-19,-1.8702002645216056e-19,3.566631125367774e-17
2142,0.02,9.149837276119122e-19,-1.702474036091289e-19,3.545596789178384e-17
2143,0.02,9.194130371566037e-19,-1.5413184827162752e-19,3.524584005977169e-17
2144,0.02,9.239169251386783e-19,-1.3867065709900592e-19,3.50359633617178e-17
2145,0.02,9.28491921782252e-19,-1.2385954022076844e-19,3.4826371884805125e-17
2146,0.02,9.331345573114392e-19,-1.0969420776641932e-19,3.461709971621662e-17
2147,0.02,9.378413619503564e-19,-9.617036986546286e-20,3.4408180943135267e-17
2148,0.02,9.426088659231186e-19,-8.328373664740342e-20,3.419964965274402e-17
2149,0.02,9.474335994538414e-19,-7.103001824174523e-20,3.3991539932225846e-17
2150,0.02,9.523120927666403e-19,-5.940492477799264e-20,3.378388586876371e-17
2151,0.02,9.572408760856308e-19,-4.84041663856499e-20,3.357672154954056e-17
2152,0.02,9.62216479634928e-19,-3.8023453194221396e-20,3.3370081061739385e-17
2153,0.02,9.67235433638648e-19,-2.825849533321129e-20,3.3163998492543134e-17
2154,0.02,9.722942683209058e-19,-1.9105002932123942e-20,3.2958507929134774e-17
2155,0.02,9.773895139058174e-19,-1.0558686120463769e-20,3.275364345869727e-17
2156,0.02,9.82517700617498e-19,-2.6152550277348235e-21,3.254943916841358e-17
2157,0.02,9.876753586800628e-19,4.729580216558407e-21,3.2345929145466687e-17
2158,0.02,9.928590183176277e-19,1.1480109482911665e-20,3.214314747703953e-17
2159,0.02,9.98065209754308e-19,1.7640622641820693e-20,3.194112825031508e-17
2160,0.02,1.0032904632142191e-18,2.3215409563781172e-20,3.1739905552476304e-17
2161,0.02,1.0085313089214765e-18,2.820876011928876e-20,3.153951347070617e-17
2162,0.02,1.013784277100196e-18,3.2624964178839224e-20,3.133998609218764e-17
2163,0.02,1.019045897974493e-18,3.646831161292826e-20,3.114135750410367e-17
2164,0.02,1.0243127017684826e-18,3.9743092292051565e-20,3.0943661793637235e-17
2165,0.02,1.0295812187062806e-18,4.245359608670482e-20,3.074693304797129e-17
2166,0.02,1.0348479790120025e-18,4.4604112867383745e-20,3.0551205354288807e-17
2167,0.02,1.0401095129097635e-18,4.6198932504584004e-20,3.035651279977274e-17
2168,0.02,1.0453623506236795e-18,4.724234486880134e-20,3.016288947160606e-17
2169,0.02,1.0506030223778655e-18,4.7738639830531466e-20,2.997036945697173e-17
2170,0.02,1.0558280583964375e-18,4.7692107260270067e-20,2.9778986843052715e-17
2171,0.02,1.0610339889035107e-18,4.710703702851284e-20,2.958877571703197e-17
2172,0.02,1.0662173441232007e-18,4.598771900575549e-20,2.9399770166092475e-17
2173,0.02,1.0713746542796227e-18,4.433844306249372e-20,2.9212004277417186e-17
2174,0.02,1.0765024495968926e-18,4.216349906922325e-20,2.902551213818906e-17
2175,0.02,1.0815972602991256e-18,3.946717689643973e-20,2.884032783559106e-17
2176,0.02,1.0866556166104372e-18,3.625376641463893e-20,2.8656485456806163e-17
2177,0.02,1.0916740487549432e-18,3.2527557494316514e-20,2.847401908901733e-17
2178,0.02,1.0966490869567585e-18,2.829284000596817e-20,2.8292962819407515e-17
2179,0.02,1.101577261439999e-18,2.355390382008967e-20,2.8113350735159695e-17
2180,0.02,1.1064551024287803e-18,1.8315038807176627e-20,2.793521692345682e-17
2181,0.02,1.1112791401472173e-18,1.2580534837724812e-20,2.775859547148186e-17
2182,0.02,1.1160461745978153e-18,6.355536407827436e-21,2.758351637972756e-17
2183,0.02,1.1207540848966345e-18,-3.513934840319893e-22,2.740999330192575e-17
2184,0.02,1.1254010199381251e-18,-7.530837213772491e-21,2.7238035805118052e-17
2185,0.02,1.129985128616737e-18,-1.517337715731296e-20,2.7067653456346077e-17
2186,0.02,1.1345045598269196e-18,-2.3269595690572428e-20,2.6898855822651435e-17
2187,0.02,1.1389574624631235e-18,-3.181007518946985e-20,2.6731652471075746e-17
2188,0.02,1.1433419854197978e-18,-4.078539802992417e-20,2.6566052968660623e-17
2189,0.02,1.1476562775913932e-18,-5.01861465878544e-20,2.640206688244768e-17
2190,0.02,1.1518984878723586e-18,-6.000290323917951e-20,2.6239703779478527e-17
2191,0.02,1.1560667651571447e-18,-7.022625035981845e-20,2.6078973226794787e-17
2192,0.02,1.1601592583402012e-18,-8.084677032569019e-20,2.591988479143807e-17
2193,0.02,1.1641741163159777e-18,-9.185504551271373e-20,2.5762448040449988e-17
2194,0.02,1.1681094879789242e-18,-1.0324165829680797e-19,2.5606672540872162e-17
2195,0.02,1.1719635222234904e-18,-1.1499719105389196e-19,2.545256785974619e-17
2196,0.02,1.1757343679441265e-18,-1.2711222615988468e-19,2.5300143564113708e-17
2197,0.02,1.1794201740352821e-18,-1.39577345990705e-19,2.5149409221016318e-17
2198,0.02,1.1830190893914072e-18,-1.52383132922272e-19,2.5000374397495635e-17
2199,0.02,1.1865292629069515e-18,-1.6552016933050457e-19,2.485304866059328e-17
2200,0.02,1.1899488434763651e-18,-1.789790375913218e-19,2.4707441577350855e-17
2201,0.02,1.193275979994098e-18,-1.927503200806425e-19,2.456356271480999e-17
2202,0.02,1.1965088213545996e-18,-2.0682459917438574e-19,2.4421421640012284e-17
2203,0.02,1.19964551645232e-18,-2.2119245724847044e-19,2.4281027919999364e-17
2204,0.02,1.2026842141817093e-18,-2.3584447667881567e-19,2.414239112181283e-17
2205,0.02,1.2056230634372168e-18,-2.5077123984134034e-19,2.400552081249431e-17
2206,0.02,1.2084602131132929e-18,-2.6596332911196335e-19,2.3870426559085413e-17
2207,0.02,1.2111938121043874e-18,-2.814113268666037e-19,2.3737117928627757e-17
2208,0.02,1.21382200930495e-18,-2.9710581548118047e-19,2.3605604488162947e-17
2209,0.02,1.2163429536094304e-18,-3.1303737733161254e-19,2.3475895804732606e-17
2210,0.02,1.2187547939122787e-18,-3.291965947938189e-19,2.3348001445378344e-17
2211,0.02,1.221055679107945e-18,-3.455740502437186e-19,2.322193097714178e-17
2212,0.02,1.2232437580908789e-18,-3.6216032605723035e-19,2.309769396706452e-17
2213,0.02,1.22531717975553e-18,-3.789460046102734e-19,2.2975299982188185e-17
2214,0.02,1.2272740929963488e-18,-3.959216682787667e-19,2.285475858955439e-17
2215,0.02,1.2291126467077847e-18,-4.130778994386291e-19,2.2736079356204746e-17
2216,0.02,1.2308309897842876e-18,-4.304052804657796e-19,2.2619271849180866e-17
2217,0.02,1.2324272711203077e-18,-4.478943937361371e-19,2.2504345635524365e-17
2218,0.02,1.2338996396102945e-18,-4.655358216256208e-19,2.2391310282276865e-17
2219,0.02,1.235246244148698e-18,-4.833201465101495e-19,2.2280175356479973e-17
